Category,Sentence,Pattern,Highlights
To be (ser/estar),Como ele foi grosso?,Subject + ser/estar + noun/adjective,"{""special"": [""foi""]}"
Questions,Como ele foi grosso?,Question word + aux + subject + verb,"{""special"": [""como""]}"
Present simple,"Bom, acho que a culpa foi nossa.",Subject + verb (present),"{""verbs"": [""acho""]}"
Past simple,"Bom, acho que a culpa foi nossa.",Pronouns + verb (past),"{""verbs"": [""foi""]}"
To be (ser/estar),"Bom, acho que a culpa foi nossa.",Subject + ser/estar + noun/adjective,"{""special"": [""foi""]}"
Prepositions,"Bom, acho que a culpa foi nossa.",noun + preposition + noun,"{""special"": [""a""]}"
Prepositions,A gente mimou ele.,noun + preposition + noun,"{""special"": [""a""]}"
Questions,O que significa mimar?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Present simple,É um pouco difícil de explicar.,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É um pouco difícil de explicar.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Prepositions,É um pouco difícil de explicar.,noun + preposition + noun,"{""special"": [""de""]}"
Numbers,É um pouco difícil de explicar.,noun + verb + number + noun,"{""special"": [""um""]}"
Personal information,É um pouco difícil de explicar.,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Onde a gente vai morar?,Subject + verb (present),"{""verbs"": [""vai""]}"
Questions,Onde a gente vai morar?,Question word + aux + subject + verb,"{""special"": [""onde""]}"
Prepositions,Onde a gente vai morar?,noun + preposition + noun,"{""special"": [""a""]}"
Present simple,"Vamos perguntar se a gente pode dormir no quintal, tá bom?",Subject + verb (present),"{""verbs"": [""Vamos""]}"
Modal verbs,"Vamos perguntar se a gente pode dormir no quintal, tá bom?",pronouns + poder + verb,"{""special"": [""pode""]}"
Questions,"Vamos perguntar se a gente pode dormir no quintal, tá bom?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,"Vamos perguntar se a gente pode dormir no quintal, tá bom?",noun + preposition + noun,"{""special"": [""a"", ""no""]}"
Present simple,Eu vou pegar algumas ostras.,Subject + verb (present),"{""verbs"": [""vou""]}"
Present simple,Elas estão fazendo xixi.,Subject + verb (present),"{""verbs"": [""estão""]}"
To be (ser/estar),Elas estão fazendo xixi.,Subject + ser/estar + noun/adjective,"{""special"": [""estão""]}"
Present continuous,Elas estão fazendo xixi.,estar + verb-ing,"{""verbs"": [""fazendo""]}"
Present simple,Deve ter caído do meu barco.,Subject + verb (present),"{""verbs"": [""Deve""]}"
Modal verbs,Deve ter caído do meu barco.,pronouns + dever + verb,"{""special"": [""Deve""]}"
Possessives,Deve ter caído do meu barco.,possessive + noun,"{""special"": [""meu""]}"
Prepositions,Deve ter caído do meu barco.,noun + preposition + noun,"{""special"": [""do""]}"
Past simple,"Que foi, Bingo?",Pronouns + verb (past),"{""verbs"": [""foi""]}"
Questions,"Que foi, Bingo?",Question word + aux + subject + verb,"{""special"": [""que""]}"
Present simple,É um adulto!,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É um adulto!,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Numbers,É um adulto!,noun + verb + number + noun,"{""special"": [""um""]}"
Personal information,É um adulto!,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Vamos morder ele!,Subject + verb (present),"{""verbs"": [""Vamos""]}"
Present simple,"Tenha calma, somos legais.",Subject + verb (present),"{""verbs"": [""somos""]}"
To be (ser/estar),"Tenha calma, somos legais.",Subject + ser/estar + noun/adjective,"{""special"": [""somos""]}"
Present simple,"Para de morder ele, Blue.",Subject + verb (present),"{""verbs"": [""Para""]}"
Prepositions,"Para de morder ele, Blue.",noun + preposition + noun,"{""special"": [""para"", ""de""]}"
Present simple,Os adultos não pertencem à Ilha do Tapete.,Subject + verb (present),"{""verbs"": [""do""]}"
Prepositions,Os adultos não pertencem à Ilha do Tapete.,noun + preposition + noun,"{""special"": [""à"", ""do""]}"
Present simple,"Por favor, só quero voltar para o meu barco.",Subject + verb (present),"{""verbs"": [""quero""]}"
Modal verbs,"Por favor, só quero voltar para o meu barco.",pronouns + querer + verb,"{""special"": [""quero""]}"
Possessives,"Por favor, só quero voltar para o meu barco.",possessive + noun,"{""special"": [""meu""]}"
Prepositions,"Por favor, só quero voltar para o meu barco.",noun + preposition + noun,"{""special"": [""por"", ""para""]}"
Adverbs of frequency,"Por favor, só quero voltar para o meu barco.",Subject + adverb + verb,"{""special"": [""só""]}"
Present simple,Você pode ficar com a gente até seu navio voltar.,Subject + verb (present),"{""verbs"": [""pode""]}"
Modal verbs,Você pode ficar com a gente até seu navio voltar.,pronouns + poder + verb,"{""special"": [""pode""]}"
Possessives,Você pode ficar com a gente até seu navio voltar.,possessive + noun,"{""special"": [""seu""]}"
Prepositions,Você pode ficar com a gente até seu navio voltar.,noun + preposition + noun,"{""special"": [""com"", ""a"", ""até""]}"
Prepositions,Ou até ficar com muita fome.,noun + preposition + noun,"{""special"": [""até"", ""com""]}"
Connecting words,Ou até ficar com muita fome.,clause + and/but/because + clause,"{""special"": [""ou""]}"
Present simple,"Preciso confessar, esse lugar é bem aconchegante.",Subject + verb (present),"{""verbs"": [""Preciso""]}"
To be (ser/estar),"Preciso confessar, esse lugar é bem aconchegante.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Modal verbs,"Preciso confessar, esse lugar é bem aconchegante.",pronouns + precisar + verb,"{""special"": [""Preciso""]}"
Present simple,O que tem para comer?,Subject + verb (present),"{""verbs"": [""tem""]}"
Questions,O que tem para comer?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Prepositions,O que tem para comer?,noun + preposition + noun,"{""special"": [""para""]}"
Personal information,O que tem para comer?,I + verb + personal detail,"{""special"": [""tem""]}"
Present simple,"Se quiser ficar na Ilha do Tapete, vai ter que trabalhar.",Subject + verb (present),"{""verbs"": [""do""]}"
Prepositions,"Se quiser ficar na Ilha do Tapete, vai ter que trabalhar.",noun + preposition + noun,"{""special"": [""na"", ""do""]}"
Present simple,"Vai, vai, vai!",Subject + verb (present),"{""verbs"": [""Vai""]}"
Present simple,É assim que a gente pega a nossa comida.,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É assim que a gente pega a nossa comida.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Possessives,É assim que a gente pega a nossa comida.,possessive + noun,"{""special"": [""nossa""]}"
Prepositions,É assim que a gente pega a nossa comida.,noun + preposition + noun,"{""special"": [""a"", ""a""]}"
Personal information,É assim que a gente pega a nossa comida.,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Isso é uma cobra.,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),Isso é uma cobra.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Numbers,Isso é uma cobra.,noun + verb + number + noun,"{""special"": [""uma""]}"
Personal information,Isso é uma cobra.,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,"o que ele faz, Louie!",Subject + verb (present),"{""verbs"": [""faz""]}"
Present simple,Puxa!,Subject + verb (present),"{""verbs"": [""Puxa""]}"
Present simple,Faz fogo!,Subject + verb (present),"{""verbs"": [""Faz""]}"
Past simple,Comeu o burbum!,Pronouns + verb (past),"{""verbs"": [""Comeu""]}"
Gerund,Assando!,be + verb-ing,"{""verbs"": [""Assando""]}"
Questions,Banana?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Present simple,Não esquece da salada.,Subject + verb (present),"{""verbs"": [""esquece""]}"
Negation,Não esquece da salada.,não + verb,"{""special"": [""não"", ""esquece""]}"
Prepositions,Não esquece da salada.,noun + preposition + noun,"{""special"": [""da""]}"
Gerund,Trem parando.,be + verb-ing,"{""verbs"": [""parando""]}"
Present simple,"Próxima parada, creche da mãe-pata.",Subject + verb (present),"{""verbs"": [""da""]}"
Prepositions,"Próxima parada, creche da mãe-pata.",noun + preposition + noun,"{""special"": [""da""]}"
Gerund,Trem partindo.,be + verb-ing,"{""verbs"": [""partindo""]}"
Present simple,Chegou bem na hora da história.,Subject + verb (present),"{""verbs"": [""da""]}"
Past simple,Chegou bem na hora da história.,Pronouns + verb (past),"{""verbs"": [""Chegou""]}"
Prepositions,Chegou bem na hora da história.,noun + preposition + noun,"{""special"": [""na"", ""da""]}"
Present simple,"Hora da história, hora da história.",Subject + verb (present),"{""verbs"": [""da""]}"
Prepositions,"Hora da história, hora da história.",noun + preposition + noun,"{""special"": [""da"", ""da""]}"
Present simple,"Quando sair do trabalho, eu venho te pegar, amorzinho.",Subject + verb (present),"{""verbs"": [""do""]}"
Questions,"Quando sair do trabalho, eu venho te pegar, amorzinho.",Question word + aux + subject + verb,"{""special"": [""quando""]}"
Prepositions,"Quando sair do trabalho, eu venho te pegar, amorzinho.",noun + preposition + noun,"{""special"": [""do""]}"
Prepositions,Dá um abraço na mamãe.,noun + preposition + noun,"{""special"": [""na""]}"
Numbers,Dá um abraço na mamãe.,noun + verb + number + noun,"{""special"": [""um""]}"
Prepositions,E esse ratinho morava em um lugar muito especial.,noun + preposition + noun,"{""special"": [""em""]}"
Connecting words,E esse ratinho morava em um lugar muito especial.,clause + and/but/because + clause,"{""special"": [""e""]}"
Numbers,E esse ratinho morava em um lugar muito especial.,noun + verb + number + noun,"{""special"": [""um""]}"
Gerund,Trem parando!,be + verb-ing,"{""verbs"": [""parando""]}"
Numbers,Um dia Trem partida!,noun + verb + number + noun,"{""special"": [""um""]}"
To be (ser/estar),O rato estava andando,Subject + ser/estar + noun/adjective,"{""special"": [""estava""]}"
Present continuous,O rato estava andando,estar + verb-ing,"{""verbs"": [""andando""]}"
Present simple,"Está com fome, urso polar?",Subject + verb (present),"{""verbs"": [""Está""]}"
To be (ser/estar),"Está com fome, urso polar?",Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Questions,"Está com fome, urso polar?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,"Está com fome, urso polar?",noun + preposition + noun,"{""special"": [""com""]}"
Present simple,Temos um dia muito cheio hoje.,Subject + verb (present),"{""verbs"": [""Temos""]}"
Numbers,Temos um dia muito cheio hoje.,noun + verb + number + noun,"{""special"": [""um""]}"
Numbers,Um tigre doente 6 tambás doentes.,noun + verb + number + noun,"{""special"": [""um"", ""6""]}"
Present simple,Está complicado.,Subject + verb (present),"{""verbs"": [""Está""]}"
To be (ser/estar),Está complicado.,Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Numbers,1 urso polar muito bravo.,noun + verb + number + noun,"{""special"": [""1""]}"
Present simple,Só precisa fazer cócegas nele.,Subject + verb (present),"{""verbs"": [""precisa""]}"
Modal verbs,Só precisa fazer cócegas nele.,pronouns + precisar + verb,"{""special"": [""precisa""]}"
Adverbs of frequency,Só precisa fazer cócegas nele.,Subject + adverb + verb,"{""special"": [""só""]}"
Present simple,"Olha, cuti, cuti, cuti.",Subject + verb (present),"{""verbs"": [""Olha""]}"
Past simple,Viu?,Pronouns + verb (past),"{""verbs"": [""Viu""]}"
Questions,Viu?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Questions,"O que a gente faria sem você, Glenda?",Question word + aux + subject + verb,"{""special"": [""que""]}"
Prepositions,"O que a gente faria sem você, Glenda?",noun + preposition + noun,"{""special"": [""a"", ""sem""]}"
Gerund,Trem chegando.,be + verb-ing,"{""verbs"": [""chegando""]}"
Present simple,"Trabalho, trabalho.",Subject + verb (present),"{""verbs"": [""Trabalho""]}"
Prepositions,Até amanhã.,noun + preposition + noun,"{""special"": [""até""]}"
Prepositions,"Próxima parada, a Cris.",noun + preposition + noun,"{""special"": [""a""]}"
Past simple,"Poppy, a sua mãe chegou.",Pronouns + verb (past),"{""verbs"": [""chegou""]}"
Possessives,"Poppy, a sua mãe chegou.",possessive + noun,"{""special"": [""sua""]}"
Prepositions,"Poppy, a sua mãe chegou.",noun + preposition + noun,"{""special"": [""a""]}"
Past simple,Ela teve um dia muito legal.,Pronouns + verb (past),"{""verbs"": [""teve""]}"
Numbers,Ela teve um dia muito legal.,noun + verb + number + noun,"{""special"": [""um""]}"
Present simple,"Ah, essa é minha garota.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Ah, essa é minha garota.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Possessives,"Ah, essa é minha garota.",possessive + noun,"{""special"": [""minha""]}"
Personal information,"Ah, essa é minha garota.",I + verb + personal detail,"{""special"": [""é""]}"
Present simple,"Dorme, dorme.",Subject + verb (present),"{""verbs"": [""Dorme""]}"
Prepositions,Hora de trabalhar.,noun + preposition + noun,"{""special"": [""de""]}"
Present simple,O trem passou da estação.,Subject + verb (present),"{""verbs"": [""da""]}"
Past simple,O trem passou da estação.,Pronouns + verb (past),"{""verbs"": [""passou""]}"
Prepositions,O trem passou da estação.,noun + preposition + noun,"{""special"": [""da""]}"
Present simple,"Ei, espera, tô indo!",Subject + verb (present),"{""verbs"": [""espera""]}"
Gerund,"Ei, espera, tô indo!",be + verb-ing,"{""verbs"": [""indo""]}"
Gerund,"Ah, trem parando.",be + verb-ing,"{""verbs"": [""parando""]}"
Present simple,"Tá bom, pode ir.",Subject + verb (present),"{""verbs"": [""pode""]}"
Modal verbs,"Tá bom, pode ir.",pronouns + poder + verb,"{""special"": [""pode""]}"
Present simple,"Nada de comida e bebida, nada de pé no banco, e esse gato tem que ficar no seu colo.",Subject + verb (present),"{""verbs"": [""Nada""]}"
Possessives,"Nada de comida e bebida, nada de pé no banco, e esse gato tem que ficar no seu colo.",possessive + noun,"{""special"": [""seu""]}"
Prepositions,"Nada de comida e bebida, nada de pé no banco, e esse gato tem que ficar no seu colo.",noun + preposition + noun,"{""special"": [""de"", ""de"", ""no"", ""no""]}"
Connecting words,"Nada de comida e bebida, nada de pé no banco, e esse gato tem que ficar no seu colo.",clause + and/but/because + clause,"{""special"": [""e"", ""e""]}"
Present simple,"Ah, só faz o trem andar, amigão.",Subject + verb (present),"{""verbs"": [""faz""]}"
Adverbs of frequency,"Ah, só faz o trem andar, amigão.",Subject + adverb + verb,"{""special"": [""só""]}"
Possessives,Sua trevitinha.,possessive + noun,"{""special"": [""sua""]}"
Present simple,"Espera aí, me mostra a sua passagem.",Subject + verb (present),"{""verbs"": [""Espera""]}"
Possessives,"Espera aí, me mostra a sua passagem.",possessive + noun,"{""special"": [""sua""]}"
Prepositions,"Espera aí, me mostra a sua passagem.",noun + preposition + noun,"{""special"": [""a""]}"
Present simple,"Vem com mamãe, Gosmentinha.",Subject + verb (present),"{""verbs"": [""Vem""]}"
Prepositions,"Vem com mamãe, Gosmentinha.",noun + preposition + noun,"{""special"": [""com""]}"
Gerund,"O tempo tá correndo, Bingo.",be + verb-ing,"{""verbs"": [""correndo""]}"
Present simple,Mas preciso pegar a Gosmentinha.,Subject + verb (present),"{""verbs"": [""preciso""]}"
Modal verbs,Mas preciso pegar a Gosmentinha.,pronouns + precisar + verb,"{""special"": [""preciso""]}"
Prepositions,Mas preciso pegar a Gosmentinha.,noun + preposition + noun,"{""special"": [""a""]}"
Connecting words,Mas preciso pegar a Gosmentinha.,clause + and/but/because + clause,"{""special"": [""mas""]}"
Present simple,Escova seus dentes.,Subject + verb (present),"{""verbs"": [""Escova""]}"
Possessives,Escova seus dentes.,possessive + noun,"{""special"": [""seus""]}"
Present simple,"Não, vai procurar seu chapéu.",Subject + verb (present),"{""verbs"": [""vai""]}"
Possessives,"Não, vai procurar seu chapéu.",possessive + noun,"{""special"": [""seu""]}"
Present simple,Eu vou pegar a Gosmentinha.,Subject + verb (present),"{""verbs"": [""vou""]}"
Prepositions,Eu vou pegar a Gosmentinha.,noun + preposition + noun,"{""special"": [""a""]}"
Questions,Quanto tempo?,Question word + aux + subject + verb,"{""special"": [""quanto""]}"
Past simple,Já procurou?,Pronouns + verb (past),"{""verbs"": [""procurou""]}"
Questions,Já procurou?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Adverbs of frequency,Já procurou?,Subject + adverb + verb,"{""special"": [""já""]}"
Past simple,"Sim, já procurei em tudo.",Pronouns + verb (past),"{""verbs"": [""procurei""]}"
Prepositions,"Sim, já procurei em tudo.",noun + preposition + noun,"{""special"": [""em""]}"
Adverbs of frequency,"Sim, já procurei em tudo.",Subject + adverb + verb,"{""special"": [""já""]}"
Present simple,"Ah, é?",Subject + verb (present),"{""verbs"": [""é""]}"
Questions,"Ah, é?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Present simple,"Vamos, Gosmentinha.",Subject + verb (present),"{""verbs"": [""Vamos""]}"
Present simple,Como é mesmo aquilo que o vovô falava quando era um soldado?,Subject + verb (present),"{""verbs"": [""Como""]}"
To be (ser/estar),Como é mesmo aquilo que o vovô falava quando era um soldado?,Subject + ser/estar + noun/adjective,"{""special"": [""é"", ""era""]}"
Questions,Como é mesmo aquilo que o vovô falava quando era um soldado?,Question word + aux + subject + verb,"{""special"": [""como"", ""que"", ""quando""]}"
Numbers,Como é mesmo aquilo que o vovô falava quando era um soldado?,noun + verb + number + noun,"{""special"": [""um""]}"
Personal information,Como é mesmo aquilo que o vovô falava quando era um soldado?,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,"Anda logo, espera.",Subject + verb (present),"{""verbs"": [""Anda""]}"
Questions,Tá tudo bem?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Present simple,"Bom, então me ajuda a arrumar isso.",Subject + verb (present),"{""verbs"": [""ajuda""]}"
Prepositions,"Bom, então me ajuda a arrumar isso.",noun + preposition + noun,"{""special"": [""a""]}"
Connecting words,"Bom, então me ajuda a arrumar isso.",clause + and/but/because + clause,"{""special"": [""então""]}"
Present simple,Porque eu tenho que ajudar?,Subject + verb (present),"{""verbs"": [""tenho""]}"
Questions,Porque eu tenho que ajudar?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Connecting words,Porque eu tenho que ajudar?,clause + and/but/because + clause,"{""special"": [""porque""]}"
Personal information,Porque eu tenho que ajudar?,I + verb + personal detail,"{""special"": [""tenho""]}"
Prepositions,"Ah, a Gosmentira tá lá!",noun + preposition + noun,"{""special"": [""a""]}"
Possessives,A minha banana!,possessive + noun,"{""special"": [""minha""]}"
Prepositions,A minha banana!,noun + preposition + noun,"{""special"": [""a""]}"
Present simple,Vamos lá!,Subject + verb (present),"{""verbs"": [""Vamos""]}"
Prepositions,Prego de pasta.,noun + preposition + noun,"{""special"": [""de""]}"
Present simple,"Ok, já chega.",Subject + verb (present),"{""verbs"": [""chega""]}"
Adverbs of frequency,"Ok, já chega.",Subject + adverb + verb,"{""special"": [""já""]}"
Present simple,Eu quero vocês na porta em um minuto.,Subject + verb (present),"{""verbs"": [""quero""]}"
Prepositions,Eu quero vocês na porta em um minuto.,noun + preposition + noun,"{""special"": [""na"", ""em""]}"
Numbers,Eu quero vocês na porta em um minuto.,noun + verb + number + noun,"{""special"": [""um""]}"
Present simple,Posso colocar meu chapéu igual ao do vovô?,Subject + verb (present),"{""verbs"": [""Posso""]}"
Modal verbs,Posso colocar meu chapéu igual ao do vovô?,pronouns + poder + verb,"{""special"": [""Posso""]}"
Questions,Posso colocar meu chapéu igual ao do vovô?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Possessives,Posso colocar meu chapéu igual ao do vovô?,possessive + noun,"{""special"": [""meu""]}"
Prepositions,Posso colocar meu chapéu igual ao do vovô?,noun + preposition + noun,"{""special"": [""ao"", ""do""]}"
Questions,Com o lado virado assim?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,Com o lado virado assim?,noun + preposition + noun,"{""special"": [""com""]}"
Present simple,"Ah, olha, Bluey.",Subject + verb (present),"{""verbs"": [""olha""]}"
Present simple,Deixa!,Subject + verb (present),"{""verbs"": [""Deixa""]}"
Present simple,Vai lá e pega o boto.,Subject + verb (present),"{""verbs"": [""Vai""]}"
Connecting words,Vai lá e pega o boto.,clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,Mas anda logo.,Subject + verb (present),"{""verbs"": [""anda""]}"
Connecting words,Mas anda logo.,clause + and/but/because + clause,"{""special"": [""mas""]}"
Present simple,Olha os patins!,Subject + verb (present),"{""verbs"": [""Olha""]}"
Prepositions,"Mãe, a gosmentinha!",noun + preposition + noun,"{""special"": [""a""]}"
Present simple,"Vamos, gosmentinha!",Subject + verb (present),"{""verbs"": [""Vamos""]}"
Gerund,"Tic, tac, tic, parando!",be + verb-ing,"{""verbs"": [""parando""]}"
Present simple,Agora é hora de Mas antes vou colocar meus patins.,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),Agora é hora de Mas antes vou colocar meus patins.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Possessives,Agora é hora de Mas antes vou colocar meus patins.,possessive + noun,"{""special"": [""meus""]}"
Prepositions,Agora é hora de Mas antes vou colocar meus patins.,noun + preposition + noun,"{""special"": [""de"", ""antes""]}"
Connecting words,Agora é hora de Mas antes vou colocar meus patins.,clause + and/but/because + clause,"{""special"": [""mas""]}"
Personal information,Agora é hora de Mas antes vou colocar meus patins.,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,"Bingo, não temos tempo!",Subject + verb (present),"{""verbs"": [""temos""]}"
Negation,"Bingo, não temos tempo!",não + verb,"{""special"": [""não"", ""temos""]}"
Present simple,"Tá bom, deixa eu colocar pra você.",Subject + verb (present),"{""verbs"": [""deixa""]}"
Present simple,"3, 2, 1, vai.",Subject + verb (present),"{""verbs"": [""vai""]}"
Present simple,A gente não pode ir sem levar gosmentinha.,Subject + verb (present),"{""verbs"": [""pode""]}"
Modal verbs,A gente não pode ir sem levar gosmentinha.,pronouns + poder + verb,"{""special"": [""pode""]}"
Negation,A gente não pode ir sem levar gosmentinha.,não + verb,"{""special"": [""não"", ""pode""]}"
Prepositions,A gente não pode ir sem levar gosmentinha.,noun + preposition + noun,"{""special"": [""a"", ""sem""]}"
Present simple,eu vou dar uma ajuda pra ela.,Subject + verb (present),"{""verbs"": [""vou""]}"
Numbers,eu vou dar uma ajuda pra ela.,noun + verb + number + noun,"{""special"": [""uma""]}"
Numbers,Encontrei um botão!,noun + verb + number + noun,"{""special"": [""um""]}"
Present simple,"Louie, pode pegar meu taco de hockey?",Subject + verb (present),"{""verbs"": [""pode""]}"
Modal verbs,"Louie, pode pegar meu taco de hockey?",pronouns + poder + verb,"{""special"": [""pode""]}"
Questions,"Louie, pode pegar meu taco de hockey?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Possessives,"Louie, pode pegar meu taco de hockey?",possessive + noun,"{""special"": [""meu""]}"
Prepositions,"Louie, pode pegar meu taco de hockey?",noun + preposition + noun,"{""special"": [""de""]}"
Present simple,Preciso tirar a gosmentinha do teto.,Subject + verb (present),"{""verbs"": [""Preciso""]}"
Modal verbs,Preciso tirar a gosmentinha do teto.,pronouns + precisar + verb,"{""special"": [""Preciso""]}"
Prepositions,Preciso tirar a gosmentinha do teto.,noun + preposition + noun,"{""special"": [""a"", ""do""]}"
Present simple,"O coelhinho passa atrás do jardim Não, não.",Subject + verb (present),"{""verbs"": [""passa""]}"
Prepositions,"O coelhinho passa atrás do jardim Não, não.",noun + preposition + noun,"{""special"": [""do""]}"
Directions,"O coelhinho passa atrás do jardim Não, não.",verb + direction,"{""special"": [""atrás""]}"
Present simple,Tenta outra vez.,Subject + verb (present),"{""verbs"": [""Tenta""]}"
Present simple,Não vou brincar de coceguinhas de caranguejo.,Subject + verb (present),"{""verbs"": [""vou""]}"
Negation,Não vou brincar de coceguinhas de caranguejo.,não + verb,"{""special"": [""não"", ""vou""]}"
Prepositions,Não vou brincar de coceguinhas de caranguejo.,noun + preposition + noun,"{""special"": [""de"", ""de""]}"
Questions,"Oh, por que não?",Question word + aux + subject + verb,"{""special"": [""que""]}"
Prepositions,"Oh, por que não?",noun + preposition + noun,"{""special"": [""por""]}"
Present simple,Porque eu detesto coceguinhas.,Subject + verb (present),"{""verbs"": [""detesto""]}"
Connecting words,Porque eu detesto coceguinhas.,clause + and/but/because + clause,"{""special"": [""porque""]}"
Questions,Por quê?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,Por quê?,noun + preposition + noun,"{""special"": [""por""]}"
Present simple,Porque são de caranguejo.,Subject + verb (present),"{""verbs"": [""são""]}"
To be (ser/estar),Porque são de caranguejo.,Subject + ser/estar + noun/adjective,"{""special"": [""são""]}"
Prepositions,Porque são de caranguejo.,noun + preposition + noun,"{""special"": [""de""]}"
Connecting words,Porque são de caranguejo.,clause + and/but/because + clause,"{""special"": [""porque""]}"
Present simple,"Mas é legal brincar disso, pai.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Mas é legal brincar disso, pai.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Connecting words,"Mas é legal brincar disso, pai.",clause + and/but/because + clause,"{""special"": [""mas""]}"
Personal information,"Mas é legal brincar disso, pai.",I + verb + personal detail,"{""special"": [""é""]}"
Connecting words,"Legal pra você, mas não pra mim.",clause + and/but/because + clause,"{""special"": [""mas""]}"
Present simple,Esse caso vai precisar de uma super cara de dó.,Subject + verb (present),"{""verbs"": [""caso""]}"
Prepositions,Esse caso vai precisar de uma super cara de dó.,noun + preposition + noun,"{""special"": [""de"", ""de""]}"
Numbers,Esse caso vai precisar de uma super cara de dó.,noun + verb + number + noun,"{""special"": [""uma""]}"
Present simple,Vamos colocar essas orelhas pra trás e vou precisar ver um pouquinho de lágrimas.,Subject + verb (present),"{""verbs"": [""Vamos""]}"
Prepositions,Vamos colocar essas orelhas pra trás e vou precisar ver um pouquinho de lágrimas.,noun + preposition + noun,"{""special"": [""de""]}"
Connecting words,Vamos colocar essas orelhas pra trás e vou precisar ver um pouquinho de lágrimas.,clause + and/but/because + clause,"{""special"": [""e""]}"
Numbers,Vamos colocar essas orelhas pra trás e vou precisar ver um pouquinho de lágrimas.,noun + verb + number + noun,"{""special"": [""um""]}"
Directions,Vamos colocar essas orelhas pra trás e vou precisar ver um pouquinho de lágrimas.,verb + direction,"{""special"": [""trás""]}"
Connecting words,E agora segura isso aqui.,clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,"Beleza, é hora do show.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Beleza, é hora do show.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Prepositions,"Beleza, é hora do show.",noun + preposition + noun,"{""special"": [""do""]}"
Personal information,"Beleza, é hora do show.",I + verb + personal detail,"{""special"": [""é""]}"
Present simple,O que vocês querem?,Subject + verb (present),"{""verbs"": [""querem""]}"
Questions,O que vocês querem?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Prepositions,Porque você nunca brinca com a gente.,noun + preposition + noun,"{""special"": [""com"", ""a""]}"
Connecting words,Porque você nunca brinca com a gente.,clause + and/but/because + clause,"{""special"": [""porque""]}"
Adverbs of frequency,Porque você nunca brinca com a gente.,Subject + adverb + verb,"{""special"": [""nunca""]}"
Present simple,Tá sempre no trabalho.,Subject + verb (present),"{""verbs"": [""trabalho""]}"
Prepositions,Tá sempre no trabalho.,noun + preposition + noun,"{""special"": [""no""]}"
Adverbs of frequency,Tá sempre no trabalho.,Subject + adverb + verb,"{""special"": [""sempre""]}"
Present simple,Eu nunca tô no trabalho.,Subject + verb (present),"{""verbs"": [""trabalho""]}"
Prepositions,Eu nunca tô no trabalho.,noun + preposition + noun,"{""special"": [""no""]}"
Adverbs of frequency,Eu nunca tô no trabalho.,Subject + adverb + verb,"{""special"": [""nunca""]}"
Present simple,Parece até que você não ama a gente.,Subject + verb (present),"{""verbs"": [""ama""]}"
Negation,Parece até que você não ama a gente.,não + verb,"{""special"": [""não"", ""ama""]}"
Prepositions,Parece até que você não ama a gente.,noun + preposition + noun,"{""special"": [""até"", ""a""]}"
